Title;URL;Author;Price
The Technology Trap: Capital, Labor, and Power in the Age of Automation;/se/bok/the-technology-trap-capital-labor-and-power-in-the-age-of-automation-9780691172798;Carl Benedikt Frey;262 kr
Network Programmability and Automation, Volume 1;/se/bok/network-programmability-and-automation-volume-1-9781587145148;Khaled Abuelenain;512 kr
Python Automation Cookbook;/se/bok/python-automation-cookbook-9781789133806;Jaime Buelta;332 kr
Software Testing Automation Tips;/se/bok/software-testing-automation-tips-9781484231616;Gennadiy Alpaev;266 kr
Home Automation with Raspberry Pi: Projects Using Google Home, Amazon Echo, and Other Intelligent Personal Assistants;/se/bok/home-automation-with-raspberry-pi-projects-using-google-home-amazon-echo-and-other-intelligent-personal-assistants-9781260440355;Donald Norris;223 kr
Apple?s Homekit Smart Home Automation System Handbook: Discover How to Build Your Own Smart Home Using Apple's New Homekit System;/se/bok/apples-homekit-smart-home-automation-system-handbook-discover-how-to-build-your-own-smart-home-using-apples-new-homekit-system-9781523211845;MR Gerard O'Driscoll;147 kr
.Net Test Automation Recipes: A Problem-Solution Approach;/se/bok/net-test-automation-recipes-a-problem-solution-approach-9781590596630;James McCaffrey;676 kr
Happy About Global Software Test Automation;/se/bok/happy-about-global-software-test-automation-9781600050114;Hung Nguyen;189 kr
Aviation Automation;/se/e-bok/aviation-automation-9781351464932;Charles E. Billings;
Genetic Algorithms for VLSI Design, Layout and Test Automation;/se/bok/genetic-algorithms-for-vlsi-design-layout-and-test-automation-9780130115669;Pinaki Mazumder;1 188 kr
Functional Test Automation a Clear and Concise Reference;/se/bok/functional-test-automation-a-clear-and-concise-reference-9780655439691;Gerardus Blokdyk;873 kr
Mobile App Test Automation Tools The Ultimate Step-By-Step Guide;/se/bok/mobile-app-test-automation-tools-the-ultimate-step-by-step-guide-9780655446118;Gerardus Blokdyk;873 kr
SOC (System-on-a-Chip) Testing for Plug and Play Test Automation;/se/bok/soc-system-on-a-chip-testing-for-plug-and-play-test-automation-9781402072055;Krishnendu Chakrabarty;1 706 kr
Flexible Test Automation;/se/bok/flexible-test-automation-9781606503836;Pasquale Arpaia ;758 kr
Automotive Mechatronics: Operational and Practical Issues;/se/bok/automotive-mechatronics-operational-and-practical-issues-9789400735729;B. T. Fijalkowski;2 352 kr
Building a GUI Test Automation Framework Using the Data Model;/se/bok/building-a-gui-test-automation-framework-using-the-data-model-9783639043471;Izzat Alsmadi;844 kr
Test Automation on a Third Party Mobile Software;/se/bok/test-automation-on-a-third-party-mobile-software-9783659769849;Lempiainen Tuomas;379 kr
.NET Test Automation Recipes;/se/bok/net-test-automation-recipes-9781484220221;James McCaffrey;700 kr
Test Automation Standard Requirements;/se/bok/test-automation-standard-requirements-9780655176527;Gerardus Blokdyk;749 kr
Rpa Robotic Process Automation Second Edition;/se/bok/rpa-robotic-process-automation-second-edition-9780655429760;Gerardus Blokdyk;873 kr
The Glass Cage: Automation and Us;/se/bok/the-glass-cage-automation-and-us-9781469295404;Nicholas Carr;117 kr
Raspberry Pi 3 Home Automation Projects;/se/bok/raspberry-pi-3-home-automation-projects-9781783283873;Sarah Roman;477 kr
Digitalisation and automation in the Nordic manufacturing sector;/se/e-bok/digitalisation-and-automation-in-the-nordic-manufacturing-sector-9789289344081;Nordic Council of Ministers;
Intelligent Buildings and Building Automation;/se/e-bok/intelligent-buildings-and-building-automation-9780203890813;Shengwei Wang;
Building Automation Systems A to Z: How to Survive in a World Full of Bas;/se/bok/building-automation-systems-a-to-z-how-to-survive-in-a-world-full-of-bas-9781539914488;Phil Zito;1 519 kr
Robotic Process Automation with Blue Prism Quick Start Guide;/se/bok/robotic-process-automation-with-blue-prism-quick-start-guide-9781789610444;Lim Mei Ying;439 kr
IEC 61131-3 Programming Industrial Automation Systems;/se/bok/iec-61131-3-programming-industrial-automation-systems-9783540677529;Karl-Heinz John;1 341 kr
Roboethics;/se/bok/roboethics-9783319217130;Spyros G. Tzafestas;1 327 kr
Intro to Marketing Automation: Maximize Your Advertising Roi;/se/bok/intro-to-marketing-automation-maximize-your-advertising-roi-9781516838509;Todd Kelsey;248 kr
Substation Automation Systems: Design and Implementation;/se/bok/substation-automation-systems-design-and-implementation-9781118987209;Evelio Padilla;848 kr
Go Programming for Network Operations: A Golang Network Automation Handbook;/se/bok/go-programming-for-network-operations-a-golang-network-automation-handbook-9781793121233;Tom McAllen;178 kr
Automation, Communication and Cybernetics in Science and Engineering;/se/bok/automation-communication-and-cybernetics-in-science-and-engineering-9783642162077;;2 406 kr
Balanced Automation Systems;/se/bok/balanced-automation-systems-9780412722004;;2 483 kr
Electronic Design Automation;/se/bok/electronic-design-automation-9780123743640;;813 kr
SCALAB - Scalable Automation for Emerging Lab Production;/se/bok/scalab---scalable-automation-for-emerging-lab-production-9783863591038;;504 kr
Systems, Cybernetics, Control, and Automation;/se/bok/systems-cybernetics-control-and-automation-9788793609075;Spyros G. Tzafestas;883 kr
Nest Smart Home Automation System Handbook: Discover How to Build Your Own Smart Home Using the Nest Ecosystem;/se/bok/nest-smart-home-automation-system-handbook-discover-how-to-build-your-own-smart-home-using-the-nest-ecosystem-9781511615716;MR Gerard O'Driscoll;228 kr
Information Fusion Under Consideration of Conflicting Input Signals;/se/bok/information-fusion-under-consideration-of-conflicting-input-signals-9783662537510;Uwe Monks;978 kr
Quantitative Analysis;/se/bok/quantitative-analysis-9789056996291;Roy M. Chiulli;2 084 kr
Informatics in Control, Automation and Robotics 12th International Conference, ICINCO 2015 Colmar, France, July 21-23, 2015 Revised Selected Papers;/se/bok/informatics-in-control-automation-and-robotics-12th-international-conference-icinco-2015-colmar-france-july-21-23-2015-revised-selected-papers-9783319811475;;2 514 kr
Intelligent Systems in Cybernetics and Automation Control Theory;/se/bok/intelligent-systems-in-cybernetics-and-automation-control-theory-9783030001834;;1 975 kr
Quantum Variational Calculus;/se/bok/quantum-variational-calculus-9783319027463;Agnieszka Barbara Malinowska;624 kr
Office Automation;/se/bok/office-automation-9781342085771;James W Driscoll;334 kr
Security Content Automation Protocol the Ultimate Step-By-Step Guide;/se/bok/security-content-automation-protocol-the-ultimate-step-by-step-guide-9780655427469;Gerardus Blokdyk;873 kr
Intelligent Control;/se/bok/intelligent-control-9789810225643;Zi-Xing Cai;1 169 kr
Industrial Engineering, Machine Design And Automation (Iemda 2014) - Proceedings Of The 2014 Congress & Computer Science And Application (Ccsa 2014) - Proceedings Of The 2nd Congress;/se/bok/industrial-engineering-machine-design-and-automation-iemda-2014---proceedings-of-the-2014-congress-computer-science-and-application-ccsa-2014---procee-9789814678995;;1 761 kr
Design Automation for Timing-Driven Layout Synthesis;/se/e-bok/design-automation-for-timing-driven-layout-synthesis-9781461531784;S. Sapatnekar ;
Automation Manifesto: No Matter What Industry You Are In, You Must Automate Everything!;/se/bok/automation-manifesto-no-matter-what-industry-you-are-in-you-must-automate-everything-9781535296625;Dan Abbate;168 kr
Organisation Von Software-Systemen;/se/bok/organisation-von-software-systemen-9783409310758;Dietrich Seibt;663 kr
Selected Topics in Automation;/se/bok/selected-topics-in-automation-9781632404602;Neil Green;1 374 kr
Grid and Distributed Computing, Control and Automation;/se/bok/grid-and-distributed-computing-control-and-automation-9783642176241;;1 041 kr
A World with Robots;/se/bok/a-world-with-robots-9783319466651;;1 546 kr
Software Process Automation;/se/bok/software-process-automation-9783642792540;Alan M. Christie;946 kr
Algorithms for VLSI Physical Design Automation;/se/bok/algorithms-for-vlsi-physical-design-automation-9781475771947;Naveed A. Sherwani;1 128 kr
Analog Device-Level Layout Automation;/se/bok/analog-device-level-layout-automation-9781461361893;John M. Cohn;1 516 kr
Security Operations Automation Third Edition;/se/bok/security-operations-automation-third-edition-9780655447344;Gerardus Blokdyk;873 kr
